videoId	publishDate	length	views	title
s7LL9Av66No	2026-06-16	48:20	352000	Steel Platoon: Time Slip 1636 - The South Korean Army Dropped into the Manchu Invasion - Episodes... (COMPILATION)
DrsCsmw1sbc	2026-06-16	8:31	183000	1636, A South Korean Platoon Drops Into Joseon: Defeating the Manchu Army | Steel Platoon Episode 5
SZtekYLQJK8	2026-05-16	8:22	119000	1636, A Republic of Korea Platoon Dropped into Joseon! Operation to Break Through the Siege of Na...
uXPx-c7GqKg	2026-05-16	8:05	244000	1636, The Republic of Korea Platoon's Advance into Hanyang Fortress After Falling into Joseon | S...
x4I1alrIE6Q	2026-05-16	8:01	2000	부산을 덮친 초대형 쓰나미… 사람들은 살아남을 수 있을까? (DISASTER - FLOP)
36lUnjid6ho	2026-05-16	17:09	195000	Time Slip: The Battle of Jinju in 1593. Can modern airborne troops hold off 100,000 Japanese troo...
P-M3Qya-Oog	2026-05-16	9:16	85000	Will the Republic of Korea Army, deployed to the Battle of Haengju in 1593, be able to hold off t...
AwCdu1ODl-I	2026-05-16	8:08	41000	Jinjuseong Fortress, 1593: Modern airborne troops and Joseon forces vs. 50,000 Japanese troops! W...
Ia6iEJD2aFA	2026-04-16	9:04	268000	Modern airborne troops deployed to Jinju Fortress in 1593—could they really hold off 100,000 Japa...
8jxc1R3w6U8	2026-04-16	13:36	94000	일제강점기에 떨어진 한국군 소대 하나 vs 30만 일본군
mPvM72B0rwM	2026-04-16	8:56	178000	1636년, 조선에 떨어진 대한민국 소대의 만주군 반격전 | 강철소대 2화
db-Xi92gK58	2026-04-16	14:52	201000	1636 병자호란, 조선에 떨어진 대한민국 1개 소대 | 강철소대 1화
oHUwp4CRTi8	2026-04-16	5:13	2700	만약 미공군 "B-2 스텔스 폭격기" 20대가 이란에 투입된다면? (MODERN HYPOTHETICAL - FLOP)
r98K-i9Z6Ns	2026-04-16	8:09	14000	The Iranian Embassy Hostage Crisis! A Special Forces' Life-Risking Rescue Operation (MODERN - LOW)
qowScaiEWZs	2026-03-16	11:17	75000	"The Last Day of the Japanese Empire": The K2 and the Army of the Future Appearing on the 1945 Ba...
jG3jVMaRXRs	2026-03-16	15:10	12000	[몰아보기] K2 전차, KF-21 전투기 미사일 총출동! 현대 화력 vs 적군? (COMPILATION - LOW)
iwl9vypG9v8	2026-02-16	8:20	14000	1592년 진주성 전투, 김시민 장군 vs 왜군 3만? 성을 지켜낸 지휘의 순간 (PURE HISTORY, NO TIME TRAVEL - LOW)
tk3XpB_xwyw	2026-02-16	8:10	199000	1593년 행주산성 전투, 왜군 3만 vs 한국군 1분대? 전세가 뒤집힌 순간
2aV_qpWEsUs	2026-02-16	8:05	159000	서기 1010년 흥화진 전투, 거란 대군의 '무적'이 아파치 1대 앞에서 산산조각 난 순간
C35YUOZqWxo	2026-02-16	8:04	13000	서기 1598년 노량해전, 왜군 함대의 '무적'이 잠수함 1척 앞에서 산산조각 난 순간 (NAVAL - LOW)
RX9qYJrxxNk	2026-02-16	8:02	107000	고구려에 떨어진 K2 전차 1대 vs 100만 대군… 안시성, 당 태종을 무너뜨리다
7c6f26rk3PE	2026-02-16	8:06	29000	K2 Tanks and KF-21 Fighters Deployed in Seoul vs. 500,000 North Korean Troops (MODERN HYPOTHETICAL - LOW)
4U6zqxIb3sE	2026-01-16	8:02	33000	타임슬립 1915: 대한민국 군대 vs 일제강점기 일본군
gH2rtwIFofM	2026-01-16	8:07	49000	[단편 영화] 왜군 5만 vs 한국군 1개 소대
