QC 3화 — mật độ đọc theo SC (어절/s = (N + thoại)/giây). Trần đề xuất: 2,2 어절/s; ≤2 câu N khi có thoại.
SC dur N D dens
SC_162 8 27 9 4.5
SC_130 8 24 11 4.38
SC_056 8 23 10 4.12
SC_137 8 24 8 4.0
SC_133 8 31 0 3.88
SC_182 8 22 9 3.88
SC_063 8 23 7 3.75
SC_077 8 19 11 3.75
SC_121 8 24 6 3.75
SC_171 8 25 5 3.75
SC_018 8 25 4 3.62
SC_043 8 23 6 3.62
SC_097 8 29 0 3.62
SC_107 8 23 6 3.62
SC_117 8 22 7 3.62
SC_161 8 23 6 3.62
SC_177 8 23 6 3.62
SC_181 8 24 5 3.62
SC_215 8 25 4 3.62
SC_262 8 29 0 3.62
SC_007 8 20 8 3.5
SC_139 8 26 2 3.5
SC_157 8 20 8 3.5
SC_159 8 22 6 3.5
SC_014 8 27 0 3.38
SC_094 8 27 0 3.38
SC_129 8 21 6 3.38
SC_160 8 23 4 3.38
SC_260 8 22 5 3.38
SC_263 8 21 6 3.38
SC_019 8 23 3 3.25
SC_022 8 21 5 3.25
SC_045 8 18 8 3.25
SC_052 8 21 5 3.25
SC_060 8 21 5 3.25
SC_082 8 21 5 3.25
SC_123 8 21 5 3.25
SC_127 8 26 0 3.25
SC_132 8 22 4 3.25
SC_030 8 19 6 3.12
SC_037 8 20 5 3.12
SC_042 8 19 6 3.12
SC_054 8 25 0 3.12
SC_066 8 18 7 3.12
SC_098 8 25 0 3.12
SC_108 8 20 5 3.12
SC_126 8 25 0 3.12
SC_170 8 25 0 3.12
SC_176 8 19 6 3.12
SC_179 8 18 7 3.12
SC_191 8 22 3 3.12
SC_034 8 21 3 3.0
SC_035 8 21 3 3.0
SC_067 8 19 5 3.0
SC_104 8 24 0 3.0
SC_143 8 19 5 3.0
SC_148 8 17 7 3.0
SC_154 8 19 5 3.0
SC_180 8 20 4 3.0
SC_185 8 19 5 3.0
SC_188 8 16 8 3.0
SC_192 8 22 2 3.0
SC_200 8 21 3 3.0
SC_257 8 24 0 3.0
SC_279 8 24 0 3.0
SC_015 8 23 0 2.88
SC_029 8 23 0 2.88
SC_039 8 17 6 2.88
SC_041 8 16 7 2.88
SC_048 8 20 3 2.88
SC_061 8 23 0 2.88
SC_076 8 19 4 2.88
SC_080 8 15 8 2.88
SC_110 8 16 7 2.88
SC_202 8 15 8 2.88
SC_212 8 23 0 2.88
SC_240 8 23 0 2.88
SC_009 10 28 0 2.8
SC_175 10 28 0 2.8
SC_008 8 21 1 2.75
SC_023 8 22 0 2.75
SC_028 8 22 0 2.75
SC_053 8 17 5 2.75
SC_072 8 18 4 2.75
SC_112 8 20 2 2.75
SC_114 8 22 0 2.75
SC_149 8 22 0 2.75
SC_155 8 22 0 2.75
SC_168 8 22 0 2.75
SC_183 8 16 6 2.75
SC_201 8 22 0 2.75
SC_250 8 22 0 2.75
SC_020 8 21 0 2.62
SC_021 8 21 0 2.62
SC_026 8 15 6 2.62
SC_040 8 21 0 2.62
SC_069 8 16 5 2.62
SC_109 8 21 0 2.62
SC_119 8 21 0 2.62
SC_131 8 21 0 2.62
SC_142 8 21 0 2.62
SC_165 8 21 0 2.62
SC_189 8 19 2 2.62
SC_193 8 12 9 2.62
SC_217 8 21 0 2.62
SC_224 8 16 5 2.62
SC_255 8 16 5 2.62
SC_099 10 26 0 2.6
SC_264 10 26 0 2.6
SC_012 12 30 0 2.5
SC_017 8 16 4 2.5
SC_036 8 14 6 2.5
SC_038 8 16 4 2.5
SC_065 8 18 2 2.5
SC_070 8 20 0 2.5
SC_111 8 18 2 2.5
SC_118 8 16 4 2.5
SC_138 8 20 0 2.5
SC_144 8 20 0 2.5
SC_156 8 15 5 2.5
SC_206 8 20 0 2.5
SC_253 8 19 1 2.5
SC_256 10 25 0 2.5
SC_281 8 17 3 2.5
SC_283 10 25 0 2.5
SC_285 10 25 0 2.5
SC_027 10 24 0 2.4
SC_049 10 24 0 2.4
SC_128 10 24 0 2.4
SC_186 10 24 0 2.4
SC_059 8 19 0 2.38
SC_103 8 11 8 2.38
SC_140 8 19 0 2.38
SC_147 8 17 2 2.38
SC_169 8 16 3 2.38
SC_174 8 16 3 2.38
SC_222 8 14 5 2.38
SC_225 8 19 0 2.38
SC_247 8 19 0 2.38
SC_141 12 28 0 2.33
SC_268 10 23 0 2.3
SC_006 8 16 2 2.25
SC_064 8 18 0 2.25
SC_071 8 18 0 2.25
SC_078 8 18 0 2.25
SC_134 8 16 2 2.25
SC_136 8 13 5 2.25
SC_153 8 18 0 2.25
SC_167 8 18 0 2.25
SC_204 8 18 0 2.25
SC_219 8 18 0 2.25
SC_221 8 18 0 2.25
SC_226 8 16 2 2.25
SC_244 8 18 0 2.25
